1	60
1	64
1	78
1	82
1	85
1	93
1	102
1	106
1	109
2	14
2	40
2	45
2	51
2	60
2	61
2	83
2	102
2	108
3	24
3	56
3	79
3	89
3	92
3	95
3	97
3	98
3	105
4	35
4	41
4	49
4	93
4	96
4	104
4	105
4	107
4	110
5	8
5	16
5	17
5	25
5	51
5	102
5	103
5	104
5	105
6	34
6	83
6	94
6	96
6	100
6	103
6	104
6	105
7	21
7	27
7	35
7	46
7	63
7	70
7	75
7	80
7	104
8	5
8	10
8	30
8	74
8	88
8	96
8	101
8	103
8	108
9	16
9	26
9	31
9	55
9	71
9	88
9	92
9	95
9	107
10	8
10	34
10	72
10	98
10	102
10	104
10	106
10	108
10	110
11	58
11	75
11	82
11	94
11	98
11	99
11	100
11	103
11	105
12	68
12	69
12	74
12	78
12	90
12	95
12	97
12	98
12	107
13	48
13	63
13	73
13	77
13	100
13	101
13	105
13	106
13	110
14	2
14	27
14	30
14	35
14	41
14	53
14	55
14	70
14	78
14	108
15	24
15	30
15	32
15	38
15	73
15	77
15	89
15	92
15	98
15	107
16	5
16	9
16	40
16	72
16	76
16	78
16	86
16	93
16	100
16	110
17	5
17	35
17	53
17	64
17	66
17	83
17	88
17	89
17	100
17	104
18	25
18	39
18	40
18	43
18	52
18	70
18	105
18	106
18	108
18	109
19	54
19	60
19	63
19	66
19	70
19	78
19	84
19	86
19	109
19	110
20	59
20	60
20	74
20	77
20	88
20	89
20	92
20	97
20	102
20	107
21	7
21	45
21	75
21	86
21	94
21	99
21	103
21	104
21	106
21	109
22	54
22	62
22	67
22	68
22	69
22	74
22	81
22	89
22	97
22	107
23	38
23	44
23	45
23	58
23	71
23	72
23	74
23	80
23	88
23	89
23	97
24	3
24	15
24	36
24	48
24	72
24	77
24	91
24	95
24	98
24	99
24	107
25	5
25	18
25	43
25	49
25	51
25	80
25	87
25	90
25	105
25	106
25	109
26	9
26	38
26	59
26	61
26	77
26	83
26	91
26	92
26	95
26	97
26	107
27	7
27	14
27	34
27	40
27	46
27	62
27	73
27	91
27	92
27	110
28	39
28	53
28	80
28	85
28	90
28	93
28	96
28	100
28	101
28	103
28	109
29	44
29	50
29	52
29	56
29	67
29	72
29	81
29	92
29	97
29	98
29	107
30	8
30	14
30	15
30	55
30	56
30	70
30	78
30	82
30	87
30	94
30	110
31	9
31	51
31	61
31	81
31	93
31	96
31	101
31	104
31	105
31	109
31	110
32	15
32	74
32	81
32	84
32	89
32	92
